Number,Image,File Name,Represented Location,Artist,Objects in Image,Words,Manufacture location,Format
1,,Aviary,"National Aviary, Pittsburgh, PA",N/A,Penguins,"National Aviary, African Penguins",U.S.A.,Image/jpg
2,,Old Faithful,"Yellowstone National Park, WY",Mark Haun,"Geiser, tree, road, building","Yellowstone, Old Faithful",China,Image/jpg
3,,Penn State,"State College, PA",N/A,"Nittany lion, statue, tree","Penn State University, Nittany Lions",Mexico,Image/jpg
4,,Assateague,"Assateague Island, MD, VA",N/A,"Lighthouse, water, waves, horse",Assateague Island,N/A,Image/jpg
5,,"OC, MD","Ocean City, MD",N/A,"Dolphin, sun, water","Ocean City, MD",N/A,Image/jpg
6,,"OC, NJ","Ocean City, NJ",N/A,"Lighthouse, anchor, seagull, beach chair, lifeguard stand","New Jersey, Ocean City",N/A,Image/jpg
7,,Annapolis,"Annapolis, MD",Lantern Press,"Car, flag, people, person, church, cloud, building, flowers","Annapolis, Maryland",U.S.A.,Image/jpg
8,,Great Falls,"Great Falls, MD, VA",Eastern National Artwork,"Rocks, family, hat, tree, water, waterfall","Great Falls, Park",U.S.A.,Image/jpg
9,,Lake Tahoe,"Lake Tahoe, CA, NV",Lantern Press,"Lake, mountain, clouds, flowers, grass",Lake Tahoe,U.S.A.,Image/jpg
10,,Williamsburg,"Williamsburg, VA",Anderson Design Group,"Building, tree, clouds, horse, carriage",Colonial Williamsburg,U.S.A.,Image/jpg
11,,Rehoboth,"Rehoboth, DE",Lantern Press,"Gazebo, musician, people, clouds, streetlight","Rehoboth Beach, Delaware",U.S.A.,Image/jpg
12,,Maryland Zoo,"Maryland Zoo, Baltimore, MD",African Penguins Group,"Penguins, rocks",Maryland Zoo,U.S.A.,Image/jpg
13,,Antique,"Antique Archaeology, Nashville, TN",N/A,"Rooster, sun, arrow","Antique Archaeology, LeClaire, IA, Nashville, TN",N/A,Image/jpg
14,,Las Vegas,"Las Vegas, NV",The Fortune Group,"Casino, building, billboard, McDonald's, cars, mountain","Las Vegas, Nevada",Mexico,Image/jpg
15,,Jacksonville,"Jacksonville, FL",N/A,"Bridge, building, water, statue, monument",Greetings From Jacksonville Florida,N/A,Image/jpg
16,,Orlando,"Orlando, FL",N/A,"Orange, building, water, flowers, flag","Greetings from Orlando Florida, ""The City Beautiful""",N/A,Image/jpg
17,,Missoula,"Missoula, MT",N/A,"City, building, mountain, grass","Missoula, Montana",U.S.A.,Image/jpg
18,,Falling Water,"Fallingwater, Mill Run, PA",N/A,"Building, home, waterfall, rock, tree",N/A,U.S.A.,Image/jpg
19,,Philadelphia Zoo,"Philadelphia Zoo, Philadelphia, PA","Alan Carey, Sandy Carey","Tiger, leaf, leaves, branch",Philadelphia Zoo,China,Image/jpg
20,,Pittsburgh,"Pittsburgh, PA",Found Image Press,"Building, water, city, logo, number","57, Main Plant of H. J. Heinz Co., Pittsburgh, Pa",U.S.A.,Image/jpg